filename,class,x1,y1,x2,y2
chatgpt_ctx_000000.jpg,chatgpt,865,348,1385,616
chatgpt_ctx_000001.jpg,chatgpt,71,0,722,720
chatgpt_ctx_000002.jpg,chatgpt,89,340,1283,934
chatgpt_ctx_000003.jpg,chatgpt,120,0,691,155
chatgpt_ctx_000004.jpg,chatgpt,355,9,1002,129
chatgpt_ctx_000005.jpg,chatgpt,594,0,1136,656
chatgpt_ctx_000006.jpg,chatgpt,194,274,605,484
chatgpt_ctx_000007.jpg,chatgpt,0,201,832,523
chatgpt_ctx_000008.jpg,chatgpt,303,222,646,312
chatgpt_ctx_000009.jpg,chatgpt,792,191,1641,663
chatgpt_ctx_000010.jpg,chatgpt,189,145,1060,594
chatgpt_ctx_000011.jpg,chatgpt,866,52,1279,181
chatgpt_ctx_000012.jpg,chatgpt,362,573,1437,909
chatgpt_ctx_000013.jpg,chatgpt,645,208,1175,624
chatgpt_ctx_000014.jpg,chatgpt,656,260,1090,476
chatgpt_ctx_000015.jpg,chatgpt,589,0,1678,946
chatgpt_ctx_000016.jpg,chatgpt,1165,308,1701,806
chatgpt_ctx_000017.jpg,chatgpt,290,263,1001,626
chatgpt_ctx_000018.jpg,chatgpt,112,0,910,720
chatgpt_ctx_000019.jpg,chatgpt,258,218,1083,643
chatgpt_ctx_000020.jpg,chatgpt,526,142,956,541
chatgpt_ctx_000021.jpg,chatgpt,335,0,1101,673
chatgpt_ctx_000022.jpg,chatgpt,266,194,628,530
chatgpt_ctx_000023.jpg,chatgpt,755,0,1381,1080
chatgpt_ctx_000024.jpg,chatgpt,248,0,1502,1080
chatgpt_ctx_000025.jpg,chatgpt,370,117,677,710
chatgpt_ctx_000026.jpg,chatgpt,902,461,1195,552
chatgpt_ctx_000027.jpg,chatgpt,498,313,1286,612
chatgpt_ctx_000028.jpg,chatgpt,578,365,1161,638
chatgpt_ctx_000029.jpg,chatgpt,467,458,1116,591
chatgpt_ctx_000030.jpg,chatgpt,610,231,1144,327
chatgpt_ctx_000031.jpg,chatgpt,166,160,801,484
chatgpt_ctx_000032.jpg,chatgpt,304,383,1112,689
chatgpt_ctx_000033.jpg,chatgpt,89,0,876,720
chatgpt_ctx_000034.jpg,chatgpt,1,673,1249,929
chatgpt_ctx_000035.jpg,chatgpt,461,103,712,227
chatgpt_ctx_000036.jpg,chatgpt,611,601,1266,849
chatgpt_ctx_000037.jpg,chatgpt,0,211,755,525
chatgpt_ctx_000038.jpg,chatgpt,73,632,952,1068
chatgpt_ctx_000039.jpg,chatgpt,363,103,1079,374
chatgpt_ctx_000040.jpg,chatgpt,8,144,527,626
chatgpt_ctx_000041.jpg,chatgpt,694,0,1719,1080
chatgpt_ctx_000042.jpg,chatgpt,500,60,1168,401
chatgpt_ctx_000043.jpg,chatgpt,281,0,1022,674
chatgpt_ctx_000044.jpg,chatgpt,173,0,1192,291
chatgpt_ctx_000045.jpg,chatgpt,132,580,429,672
chatgpt_ctx_000046.jpg,chatgpt,296,0,945,1080
chatgpt_ctx_000047.jpg,chatgpt,186,367,1252,700
chatgpt_ctx_000048.jpg,chatgpt,134,0,1321,940
chatgpt_ctx_000049.jpg,chatgpt,600,0,1236,720
chatgpt_ctx_000050.jpg,chatgpt,237,0,911,557
chatgpt_ctx_000051.jpg,chatgpt,773,262,1202,660
chatgpt_ctx_000052.jpg,chatgpt,881,179,1117,300
chatgpt_ctx_000053.jpg,chatgpt,665,43,910,612
chatgpt_ctx_000054.jpg,chatgpt,156,0,512,720
chatgpt_ctx_000055.jpg,chatgpt,281,302,972,564
chatgpt_ctx_000056.jpg,chatgpt,1323,88,1760,695
chatgpt_ctx_000057.jpg,chatgpt,671,401,1127,491
chatgpt_ctx_000058.jpg,chatgpt,784,497,1263,595
chatgpt_ctx_000059.jpg,chatgpt,639,414,1894,1036
chatgpt_ctx_000060.jpg,chatgpt,198,376,770,479
chatgpt_ctx_000061.jpg,chatgpt,0,487,862,848
chatgpt_ctx_000062.jpg,chatgpt,483,712,1832,989
chatgpt_ctx_000063.jpg,chatgpt,0,78,790,380
chatgpt_ctx_000064.jpg,chatgpt,0,19,469,542
chatgpt_ctx_000065.jpg,chatgpt,204,10,466,516
chatgpt_ctx_000066.jpg,chatgpt,92,0,1048,720
chatgpt_ctx_000067.jpg,chatgpt,652,207,937,471
chatgpt_ctx_000068.jpg,chatgpt,619,78,1263,410
chatgpt_ctx_000069.jpg,chatgpt,112,193,1072,557
chatgpt_ctx_000070.jpg,chatgpt,0,0,599,700
chatgpt_ctx_000071.jpg,chatgpt,128,0,777,720
chatgpt_ctx_000072.jpg,chatgpt,33,5,485,629
